,NetIncomeLoss,Assets,AssetsCurrent
March 2009,1266750.0,,
June 2009,1266750.0,,
September 2009,1266750.0,,
December 2009,1266750.0,,
March 2010,2524000.0,,
June 2010,2584000.0,,
September 2010,3835000.0,,
December 2010,5136000.0,149896000.0,66784000.0
March 2011,4185000.0,,
June 2011,6325000.0,179635000.0,95402000.0
September 2011,4056000.0,188639000.0,106557000.0
December 2011,6988000.0,163815000.0,82671000.0
March 2012,4816000.0,175170000.0,90407000.0
June 2012,5745000.0,190446000.0,105035000.0
September 2012,5948000.0,213730000.0,119365000.0
December 2012,7463000.0,237247000.0,142797000.0
March 2013,7141000.0,245349000.0,137858000.0
June 2013,8316000.0,257849000.0,137159000.0
September 2013,7614000.0,286515000.0,149791000.0
December 2013,10314000.0,310971000.0,162425000.0
March 2014,-3643000.0,313956000.0,167074000.0
