,OperatingExpenses,ResearchAndDevelopmentExpense,NetIncomeLoss,Assets,AssetsCurrent
June 2008,16256750.0,3994500.0,23500.0,,
September 2008,16256750.0,3994500.0,23500.0,,
December 2008,16256750.0,3994500.0,23500.0,,
March 2009,16256750.0,3994500.0,23500.0,,
June 2009,15609000.0,3877666.6666666665,1189666.6666666667,,
September 2009,15609000.0,3877666.6666666665,1189666.6666666667,,
December 2009,15609000.0,3877666.6666666665,1189666.6666666667,,
March 2010,19653000.0,4412000.0,-2374000.0,,
June 2010,16988000.0,3982000.0,-1582000.0,,
September 2010,38053000.0,9208000.0,-3379000.0,,
December 2010,32789000.0,8890000.0,-15647000.0,363282000.0,158789000.0
March 2011,30401000.0,8535000.0,-5445000.0,,
June 2011,29513000.0,8402000.0,-4520000.0,369788000.0,148228000.0
September 2011,28616000.0,8261000.0,-2206000.0,347516000.0,139754000.0
December 2011,31052000.0,8779000.0,14205000.0,407886000.0,175303000.0
March 2012,30668000.0,9552000.0,-2254000.0,412783000.0,189486000.0
June 2012,30024000.0,9747000.0,-520000.0,,
September 2012,29494000.0,9658000.0,601000.0,387032000.0,168820000.0
December 2012,40856000.0,9892000.0,-8229000.0,405842000.0,186408000.0
March 2013,34477000.0,10368000.0,-5726000.0,397912000.0,167542000.0
June 2013,33657000.0,9729000.0,19787000.0,387792000.0,163620000.0
September 2013,37840000.0,8622000.0,-8295000.0,373316000.0,139650000.0
December 2013,36242000.0,8758000.0,-76000.0,392566000.0,121714000.0
