,SellingGeneralAndAdministrativeExpense,NetIncomeLoss,Assets
March 2009,4151750.0,-944000.0,
June 2009,4151750.0,-944000.0,
September 2009,4151750.0,-944000.0,
December 2009,4151750.0,-944000.0,
March 2010,4482000.0,-1533000.0,
June 2010,4191000.0,-313000.0,
September 2010,3753000.0,21000.0,
December 2010,3936000.0,265000.0,61708000.0
March 2011,4170000.0,-490000.0,
June 2011,4117000.0,-810000.0,63466000.0
September 2011,4164000.0,-534000.0,62462000.0
December 2011,3708000.0,257000.0,64241000.0
March 2012,4290000.0,-502000.0,63834000.0
