,SellingGeneralAndAdministrativeExpense,NetIncomeLoss,Assets
March 2009,9777250.0,653000.0,
June 2009,9777250.0,653000.0,
September 2009,9777250.0,653000.0,
December 2009,9777250.0,653000.0,
March 2010,8826000.0,843000.0,
June 2010,8556000.0,473000.0,
September 2010,8584000.0,623000.0,
December 2010,8278000.0,160000.0,129876000.0
March 2011,8908000.0,937000.0,
June 2011,8340000.0,137000.0,139896000.0
September 2011,9099000.0,913000.0,135237000.0
December 2011,8577000.0,507000.0,132780000.0
March 2012,8593000.0,1119000.0,140761000.0
June 2012,8417000.0,309000.0,143279000.0
September 2012,9877000.0,1006000.0,146678000.0
December 2012,10988000.0,7158000.0,158983000.0
March 2013,12604000.0,554000.0,166320000.0
June 2013,14397000.0,1504000.0,164389000.0
September 2013,13834000.0,565000.0,164814000.0
December 2013,18043000.0,400000.0,153174000.0
March 2014,19649000.0,642000.0,179971000.0
June 2014,17839000.0,457000.0,160955000.0
September 2014,16215000.0,2057000.0,158610000.0
December 2014,16049000.0,2094000.0,165781000.0
March 2015,14952000.0,722000.0,177690000.0
June 2015,15168000.0,887000.0,182365000.0
September 2015,19407000.0,1641000.0,187502000.0
December 2015,26883000.0,279000.0,196974000.0
March 2016,13506000.0,114203000.0,410317000.0
June 2016,13573000.0,1327000.0,321086000.0
