,NetIncomeLoss,Assets
March 2009,3431250.0,
June 2009,3431250.0,
September 2009,3431250.0,
December 2009,3431250.0,
March 2010,2102000.0,
June 2010,731000.0,
September 2010,926000.0,
December 2010,-76399000.0,2591818000.0
March 2011,1040000.0,
June 2011,-51377000.0,2523114000.0
September 2011,1349000.0,2500041000.0
December 2011,1423000.0,2498484000.0
March 2012,1155000.0,2610185000.0
June 2012,1329000.0,2634952000.0
September 2012,1966000.0,2485041000.0
December 2012,2304000.0,2418264000.0
March 2013,2545000.0,2393845000.0
June 2013,2649000.0,2356807000.0
September 2013,2908000.0,2333317000.0
December 2013,2694000.0,2347349000.0
March 2014,2844000.0,2319007000.0
June 2014,3578000.0,2337858000.0
September 2014,4409000.0,2327108000.0
December 2014,3834000.0,2328446000.0
March 2015,3553000.0,2409871000.0
June 2015,3589000.0,2419877000.0
September 2015,3345000.0,2466892000.0
December 2015,3690000.0,2502167000.0
March 2016,4473000.0,2533371000.0
June 2016,3949000.0,2620142000.0
September 2016,4454000.0,2653366000.0
December 2016,4078000.0,2648524000.0
March 2017,3640000.0,2668369000.0
June 2017,4192000.0,2710618000.0
September 2017,3842000.0,2693674000.0
