,OperatingExpenses,ResearchAndDevelopmentExpense,SellingGeneralAndAdministrativeExpense,NetIncomeLoss,Assets,AssetsCurrent
March 2009,38640750.0,3900000.0,14415500.0,-15816250.0,,
June 2009,38640750.0,3900000.0,14415500.0,-15816250.0,,
September 2009,38640750.0,3900000.0,14415500.0,-15816250.0,,
December 2009,38640750.0,3900000.0,14415500.0,-15816250.0,,
March 2010,24658000.0,8378000.0,14974000.0,4601000.0,,
June 2010,30072000.0,8568000.0,18225000.0,25162000.0,,
September 2010,28599000.0,8959000.0,19280000.0,63719000.0,,
December 2010,55216000.0,-2705000.0,22152000.0,54374000.0,761812000.0,672390000.0
March 2011,33058000.0,11296000.0,21085000.0,30814000.0,,
June 2011,34087000.0,12086000.0,20895000.0,31685000.0,693409000.0,586370000.0
September 2011,34913000.0,11575000.0,22613000.0,41437000.0,705387000.0,597461000.0
December 2011,37657000.0,-4757000.0,23863000.0,32360000.0,743516000.0,623638000.0
March 2012,36483000.0,11741000.0,24247000.0,4979000.0,735546000.0,612184000.0
June 2012,37748000.0,11947000.0,25392000.0,46712000.0,828545000.0,708843000.0
September 2012,38835000.0,10885000.0,27346000.0,21123000.0,870074000.0,746152000.0
December 2012,39121000.0,-3873000.0,27198000.0,-17152000.0,798932000.0,666467000.0
March 2013,42049000.0,,25759000.0,-7161000.0,795104000.0,664924000.0
