,Assets
December 2009,1685453000.0
March 2010,
June 2010,1733682000.0
September 2010,1695877000.0
December 2010,1652703000.0
March 2011,1615113000.0
June 2011,1572751000.0
September 2011,1546937000.0
December 2011,1579144000.0
March 2012,1548506000.0
June 2012,1807921000.0
September 2012,1955265000.0
December 2012,1933919000.0
March 2013,1965109000.0
June 2013,2519091000.0
September 2013,2638328000.0
December 2013,2780342000.0
March 2014,2774730000.0
June 2014,2852566000.0
September 2014,2936654000.0
December 2014,3052089000.0
March 2015,2878131000.0
June 2015,3021746000.0
