,OperatingExpenses,SellingGeneralAndAdministrativeExpense,NetIncomeLoss,Assets,AssetsCurrent
March 2010,14934.0,14934.0,-8813.0,,
June 2010,15158.0,15158.0,-11426.0,,
September 2010,15450.0,15450.0,-16078.0,,
December 2010,27710.0,27710.0,-9322.0,,
March 2011,26126.0,26126.0,-13573.0,14615.0,13715.0
June 2011,40875.0,40875.0,-29541.0,,
September 2011,31260.0,31260.0,-19478.0,4560.0,3660.0
December 2011,27798.0,27798.0,-11934.0,9771.0,8871.0
March 2012,35595.0,35595.0,-32712.0,6062.0,5162.0
June 2012,31587.0,31587.0,-17131.0,6082.0,5182.0
September 2012,29892.0,29892.0,-15021.0,11135.0,
December 2012,25629.0,25629.0,-18180.0,16515.0,
March 2013,25203.0,25203.0,-12709.0,13132.0,12232.0
June 2013,36344.0,36344.0,-24825.0,9605.0,
September 2013,28916.0,28916.0,-25047.0,10667.0,
December 2013,28929.0,28929.0,-22187.0,8137.0,
March 2014,31132.0,31132.0,-21521.0,11722.0,
June 2014,51026.0,7850.0,-45478.0,8399.0,
September 2014,10820.0,10820.0,-47634.0,5903.0,
December 2014,54285.0,97461.0,4827.0,5811.0,
March 2015,364518.0,364518.0,-353533.0,891331.0,
June 2015,290405.0,290405.0,-268049.0,310191.0,
September 2015,200704.0,200704.0,-206581.0,207630.0,
