,ResearchAndDevelopmentExpense,NetIncomeLoss,Assets,AssetsCurrent,AssetsNoncurrent
June 2009,16450000.0,51047000.0,,,
September 2009,16450000.0,27986000.0,,,
December 2009,16450000.0,24412000.0,,,
March 2010,16450000.0,37361000.0,2013325000.0,705281000.0,881593000.0
June 2010,17300000.0,12645000.0,1896407000.0,618666000.0,
September 2010,18100000.0,25992000.0,1892808000.0,595407000.0,
December 2010,16200000.0,33999000.0,1971836000.0,684798000.0,
March 2011,17600000.0,34805000.0,2038377000.0,742740000.0,879470000.0
June 2011,18500000.0,16985000.0,2003531000.0,697905000.0,
September 2011,21100000.0,22679000.0,2111944000.0,577442000.0,
December 2011,22600000.0,21588000.0,2170810000.0,637302000.0,
March 2012,25000000.0,27119000.0,2167538000.0,641358000.0,1085216000.0
June 2012,25600000.0,10468000.0,2037853000.0,528860000.0,
September 2012,25900000.0,10594000.0,2015078000.0,509886000.0,
December 2012,26200000.0,25340000.0,2084924000.0,589587000.0,
March 2013,25000000.0,-63653000.0,1973282000.0,593239000.0,960888000.0
June 2013,25200000.0,9967000.0,1897536000.0,519202000.0,
September 2013,22100000.0,16340000.0,1970480000.0,581542000.0,
December 2013,23600000.0,25022000.0,2037108000.0,661577000.0,
March 2014,,20254000.0,1997109000.0,752554000.0,858780000.0
June 2014,20000000.0,52000.0,1866088000.0,632463000.0,
September 2014,21800000.0,9151000.0,1849871000.0,641611000.0,
