,OperatingExpenses,NetIncomeLoss,AssetsCurrent
December 2003,168.39795918367352,0.0,
March 2004,168.39795918367352,0.0,
June 2004,168.39795918367352,0.0,
September 2004,168.39795918367352,0.0,
December 2004,168.39795918367352,0.0,
March 2005,168.39795918367352,0.0,
June 2005,168.39795918367352,0.0,
September 2005,168.39795918367352,0.0,
December 2005,168.39795918367352,0.0,
March 2006,168.39795918367352,0.0,
June 2006,168.39795918367352,0.0,
September 2006,168.39795918367352,0.0,
December 2006,168.39795918367352,0.0,
March 2007,168.39795918367352,0.0,
June 2007,168.39795918367352,0.0,
September 2007,168.39795918367352,0.0,
December 2007,168.39795918367352,0.0,
March 2008,168.39795918367352,0.0,
June 2008,168.39795918367352,0.0,
September 2008,168.39795918367352,0.0,
December 2008,168.39795918367352,0.0,
March 2009,168.39795918367352,0.0,
June 2009,168.39795918367352,0.0,
September 2009,168.39795918367352,0.0,
December 2009,168.39795918367352,0.0,
March 2010,168.39795918367352,0.0,
June 2010,168.39795918367352,0.0,
September 2010,168.39795918367352,0.0,
December 2010,2357.5714285714284,-5501.0,
March 2011,2357.5714285714284,-5501.0,
June 2011,2357.5714285714284,-5501.0,
September 2011,2466.25,-2466.25,
December 2011,2466.25,-2466.25,
March 2012,2466.25,-2466.25,
June 2012,2466.25,-2466.25,
September 2012,2357.5714285714284,0.0,38592.0
December 2012,2357.5714285714284,0.0,
March 2013,2357.5714285714284,0.0,38592.0
June 2013,2357.5714285714284,0.0,38592.0
September 2013,31000.0,-31000.0,38592.0
