,Assets
March 2011,
June 2011,100.0
September 2011,100.0
December 2011,100.0
March 2012,100.0
June 2012,100000.0
September 2012,100.0
December 2012,100.0
March 2013,100.0
June 2013,100.0
September 2013,100.0
December 2013,100.0
March 2014,100.0
June 2014,100.0
September 2014,100.0
December 2014,100.0
March 2015,100.0
June 2015,100.0
September 2015,100.0
December 2015,100.0
March 2016,100.0
June 2016,100.0
September 2016,100.0
December 2016,100.0
March 2017,100.0
June 2017,100.0
September 2017,100.0
December 2017,100.0
March 2018,100.0
June 2018,100.0
September 2018,100.0
December 2018,100.0
March 2019,100.0
June 2019,100.0
September 2019,100.0
December 2019,100.0
March 2020,100.0
June 2020,100.0
September 2020,100.0
December 2020,100.0
March 2021,100.0
June 2021,100.0
September 2021,100.0
December 2021,100.0
March 2022,100.0
June 2022,100.0
