,OperatingExpenses,SellingGeneralAndAdministrativeExpense,NetIncomeLoss,Assets
June 2010,,53167.0,-120382.0,
September 2010,,52577.0,-63732.0,
December 2010,,50557.0,-451422.0,
March 2011,,45914.0,-114289.0,2166812.0
June 2011,,32784.0,-101549.0,
September 2011,,35216.0,-175844.0,2020477.0
December 2011,,33745.0,-22520.0,2078745.0
March 2012,,49637.0,-79769.0,2095617.0
June 2012,,28547.0,-68754.0,974540.0
September 2012,,43460.0,-113827.0,915850.0
December 2012,,46052.0,-116514.0,734626.0
March 2013,,39426.0,-109643.0,636695.0
June 2013,109070.0,37164.0,-108569.0,551963.0
September 2013,110307.0,38402.0,-109890.0,423303.0
December 2013,108856.0,36950.0,1316942.0,759372.0
March 2014,,46295.0,-118694.0,640355.0
June 2014,104245.0,31261.0,-103750.0,541746.0
September 2014,107620.0,34636.0,-107249.0,418658.0
December 2014,114095.0,41111.0,-113841.0,300615.0
