,ResearchAndDevelopmentExpense,NetIncomeLoss,Assets,AssetsCurrent,AssetsNoncurrent
March 2010,46110.25,8856558.0,,,
June 2010,46110.25,9898292.0,,,
September 2010,46110.25,9855705.0,,,
December 2010,46110.25,9855420.0,178284593.0,140628265.0,37656328.0
March 2011,238574.75,12511986.0,,,
June 2011,238574.75,14366076.0,209046220.0,165073534.0,43972686.0
September 2011,238574.75,13528083.0,224774153.0,172964683.0,51809470.0
December 2011,238574.75,12727388.0,238289113.0,176593796.0,61695317.0
March 2012,371463.0,11475012.0,246372478.0,183222395.0,63150083.0
June 2012,364617.0,13446666.0,,,
September 2012,619039.0,17226638.0,,,
December 2012,423899.0,15793687.0,293911897.0,227989786.0,65922111.0
March 2013,230739.0,13311187.0,312899451.0,247368779.0,65530672.0
June 2013,228229.0,15675810.0,331251159.0,265491665.0,65759494.0
September 2013,243672.0,13938895.0,350868255.0,282259547.0,68608708.0
December 2013,602739.0,13233558.0,365533456.0,294089943.0,71443513.0
