,ResearchAndDevelopmentExpense,NetIncomeLoss,Assets,AssetsCurrent,AssetsNoncurrent
June 2005,862066.6315789474,-2325806.3333333335,,,
September 2005,862066.6315789474,-2325806.3333333335,,,
December 2005,862066.6315789474,-2325806.3333333335,,,
March 2006,862066.6315789474,-553987.25,,,
June 2006,862066.6315789474,-553987.25,,,
September 2006,862066.6315789474,-553987.25,,,
December 2006,862066.6315789474,-553987.25,,,
March 2007,862066.6315789474,-828300.75,,,
June 2007,862066.6315789474,-828300.75,,,
September 2007,862066.6315789474,-828300.75,,,
December 2007,862066.6315789474,-828300.75,,,
March 2008,862066.6315789474,-1758384.0,,,
June 2008,862066.6315789474,-1758384.0,,,
September 2008,862066.6315789474,-1758384.0,,,
December 2008,862066.6315789474,-1758384.0,,,
March 2009,862066.6315789474,-1871179.5,,,
June 2009,862066.6315789474,-1871179.5,,,
September 2009,862066.6315789474,-1871179.5,,,
December 2009,862066.6315789474,-1871179.5,,,
March 2010,1328657.75,-1554358.0,,,
June 2010,1328657.75,-1728617.0,,,
September 2010,1328657.75,-1390891.0,,,
December 2010,1328657.75,-2885265.0,26813109.0,26192789.0,620320.0
March 2011,2905320.25,-3466977.0,,,
June 2011,2905320.25,-3089931.0,21883463.0,20856640.0,1026823.0
September 2011,2905320.25,-3484473.0,19081067.0,18037770.0,230113.0
December 2011,2905320.25,-5021674.0,15024571.0,13828616.0,1195955.0
March 2012,4304070.0,-4999371.0,10805001.0,9516376.0,1288625.0
June 2012,-2126339.0,-3069493.0,44203554.0,43001595.0,1201959.0
September 2012,6427625.5,-5500679.0,40971147.0,39728229.0,1242918.0
December 2012,6427625.5,-4701891.0,35916698.0,34444581.0,1472117.0
March 2013,3197600.0,-4744808.0,31722937.0,30281222.0,1441715.0
June 2013,-5389203.0,-9885147.0,26446503.0,25032189.0,1414314.0
