,OperatingExpenses,ResearchAndDevelopmentExpense,SellingGeneralAndAdministrativeExpense,NetIncomeLoss,Assets,AssetsCurrent,AssetsNoncurrent
March 2010,1808476.0,17694.25,252163.75,,,,
June 2010,1808476.0,17694.25,252163.75,,,,
September 2010,1808476.0,17694.25,252163.75,,,,
December 2010,1808476.0,17694.25,252163.75,,1232977.0,1224746.0,8231.0
March 2011,372988.0,26235.0,345887.0,-532345.0,,,
June 2011,1256017.0,21455.0,1233640.0,-1432382.0,,,
September 2011,287038.0,15627.0,270494.0,-394460.0,,,
December 2011,395846.0,29354.0,347440.0,,1037363.0,1032648.0,4715.0
March 2012,306187.0,32850.0,272497.0,-411260.0,754919.0,750917.0,4002.0
June 2012,343654.0,20344.0,322487.0,-479479.0,,,
September 2012,313595.0,26099.0,286685.0,-310019.0,109597.0,106525.0,3072.0
