,OperatingExpenses,NetIncomeLoss,AssetsCurrent
June 2007,10164.0,-10258.833333333334,
September 2007,10164.0,-10258.833333333334,
December 2007,10164.0,-10258.833333333334,
March 2008,10164.0,-10258.833333333334,
June 2008,10164.0,-10258.833333333334,
September 2008,10164.0,-10258.833333333334,
December 2008,10164.0,-10258.833333333334,
March 2009,10164.0,-10258.833333333334,
June 2009,10164.0,-10258.833333333334,
September 2009,10164.0,-10258.833333333334,
December 2009,10164.0,-10258.833333333334,
March 2010,10164.0,-10258.833333333334,
June 2010,1394.25,-541.0,
September 2010,1394.25,-1916.0,
December 2010,1394.25,-1525.0,
March 2011,1394.25,-3821.0,97.0
June 2011,5666.5,-4975.0,0.0
September 2011,5666.5,-7147.0,6147.0
December 2011,5666.5,-5202.0,2132.0
March 2012,5666.5,-9282.0,1812.0
June 2012,3774.0,-4943.0,1042.0
September 2012,3774.0,-2756.0,638.0
December 2012,3774.0,-3018.0,518.0
March 2013,3774.0,-6415.0,518.0
June 2013,2360.0,-2619.0,473.0
September 2013,1747.0,-2355.0,1023.0
December 2013,2315.0,-2956.0,
March 2014,5050.0,-5690.0,
June 2014,2250.0,-2928.0,
September 2014,2526.0,-3280.0,
December 2014,2200.0,-3009.0,50.0
March 2015,922.0,-1760.0,3578.0
June 2015,3591.0,-4507.0,33.0
September 2015,2281.0,-3220.0,
December 2015,2265.0,-3233.0,
March 2016,2250.0,-3219.0,
June 2016,2460.0,-3479.0,
September 2016,3317.0,-4375.0,
December 2016,2350.0,-3435.0,
March 2017,3275.0,-4430.0,
June 2017,3275.0,-4430.0,
September 2017,1500.0,-2702.0,
December 2017,3648.0,-4919.5,
March 2018,3648.0,-4919.5,
June 2018,2980.0,-4295.0,
