,SellingGeneralAndAdministrativeExpense,NetIncomeLoss,Assets
March 2009,,-7245750.0,
June 2009,,-7245750.0,
September 2009,,-7245750.0,
December 2009,,-7245750.0,
March 2010,,-10136000.0,
June 2010,,-5743000.0,
September 2010,,-9519000.0,
December 2010,,-9710000.0,545451000.0
March 2011,,-10097000.0,
June 2011,,-16526000.0,559876000.0
September 2011,,-121561000.0,435806000.0
December 2011,,-17697000.0,409056000.0
March 2012,,-8451000.0,395516000.0
June 2012,,-11345000.0,390347000.0
September 2012,,-11583000.0,377703000.0
December 2012,,-58856000.0,337871000.0
March 2013,,-4759000.0,332277000.0
June 2013,,-4668000.0,461500000.0
September 2013,,-1877000.0,464455000.0
December 2013,,1824000.0,466728000.0
March 2014,12576250.0,-1926000.0,470091000.0
June 2014,12576250.0,-2289000.0,655942000.0
September 2014,12576250.0,678000.0,665566000.0
December 2014,12576250.0,1605000.0,668886000.0
March 2015,13380000.0,-5008000.0,666230000.0
June 2015,15922000.0,-4466000.0,704552000.0
September 2015,23191000.0,5520000.0,756140000.0
December 2015,27093000.0,15904000.0,742016000.0
March 2016,20384000.0,791000.0,723017000.0
June 2016,25771000.0,117361000.0,844932000.0
September 2016,25484000.0,11897000.0,834804000.0
December 2016,28580000.0,17058000.0,840233000.0
March 2017,22371000.0,2439000.0,837872000.0
June 2017,27014000.0,647000.0,1199475000.0
September 2017,27085000.0,-1477000.0,1043035000.0
December 2017,29921000.0,-23545000.0,1010144000.0
March 2018,25515000.0,-2343000.0,1017503000.0
June 2018,28718000.0,2999000.0,1024433000.0
