,SellingGeneralAndAdministrativeExpense,NetIncomeLoss,Assets,AssetsCurrent
June 2013,,-17162.0,189904.0,
September 2013,,-196641.0,178194984.0,1113785.0
December 2013,,-299784.0,177952639.0,855599.0
March 2014,,-3531501.0,177328143.0,216738.0
June 2014,,-1633275.0,222856879.0,
September 2014,,,,
December 2014,,,,
March 2015,31493000.0,-743000.0,,
June 2015,32521000.0,-719000.0,,
September 2015,31704000.0,-2639000.0,,
December 2015,33653000.0,-70357000.0,697092000.0,226367000.0
March 2016,32301000.0,-2506000.0,709542000.0,242580000.0
June 2016,28273000.0,-1970000.0,698786000.0,240074000.0
September 2016,25941000.0,-2132000.0,684494000.0,233692000.0
December 2016,27282000.0,-60627000.0,583836000.0,210165000.0
March 2017,26656000.0,-386000.0,587202000.0,218540000.0
June 2017,25242000.0,-4737000.0,587627000.0,238692000.0
September 2017,26170000.0,-1601000.0,560589000.0,213938000.0
December 2017,-457000.0,2246000.0,546323000.0,203987000.0
March 2018,27524000.0,-819000.0,563791000.0,225346000.0
June 2018,28888000.0,-587000.0,537088000.0,210436000.0
September 2018,24514000.0,-4458000.0,526542000.0,207385000.0
December 2018,-2174000.0,-7296000.0,503597000.0,196139000.0
March 2019,19069000.0,-7056000.0,538637000.0,199055000.0
June 2019,26400000.0,-13116000.0,516533000.0,177610000.0
September 2019,20416000.0,-33167000.0,433690000.0,197810000.0
December 2019,12315000.0,-28269000.0,387101000.0,174987000.0
March 2020,24470000.0,-14600000.0,387535000.0,176469000.0
