,ResearchAndDevelopmentExpense,SellingGeneralAndAdministrativeExpense,NetIncomeLoss,Assets,AssetsCurrent
March 2009,,2802000.0,1259500.0,,
June 2009,,2802000.0,1259500.0,,
September 2009,,2802000.0,1259500.0,,
December 2009,,2802000.0,1259500.0,,
March 2010,-24250.0,2053000.0,403000.0,,
June 2010,-24250.0,1774000.0,-1025000.0,,
September 2010,-24250.0,1577000.0,-3883000.0,,
December 2010,-24250.0,2170000.0,-5031000.0,59396000.0,14643000.0
March 2011,6750.0,1831000.0,-3907000.0,,
June 2011,6750.0,764000.0,-5478000.0,51155000.0,9499000.0
September 2011,6750.0,1017000.0,-4597000.0,68630000.0,31683000.0
December 2011,6750.0,1215000.0,-2967000.0,66651000.0,24192000.0
March 2012,9500.0,1386000.0,-1933000.0,64654000.0,22524000.0
June 2012,9500.0,1406000.0,6947000.0,66497000.0,19968000.0
September 2012,9500.0,1553000.0,-1046000.0,62893000.0,19120000.0
December 2012,9500.0,1207000.0,-5069000.0,56745000.0,17257000.0
March 2013,-1597750.0,2279000.0,11025000.0,67986000.0,25104000.0
June 2013,-1597750.0,1550000.0,-1286000.0,64090000.0,20687000.0
September 2013,-1597750.0,2211000.0,-5999000.0,58924000.0,17406000.0
December 2013,-1597750.0,2795000.0,-5993000.0,51815000.0,12777000.0
March 2014,,2362000.0,-6478000.0,46745000.0,9034000.0
