,OperatingExpenses,SellingGeneralAndAdministrativeExpense,NetIncomeLoss,Assets,AssetsCurrent,AssetsNoncurrent
March 2014,144181.0,472.0,102888.0,,,
June 2014,131460.0,472.0,-29032.0,,,
September 2014,158491.0,472.0,-5887.0,,,
December 2014,232065.0,472.0,75247.0,1761857.0,1750411.0,11446.0
March 2015,206576.0,612.0,48159.0,,,
June 2015,142682.0,612.0,1837.0,1356629.0,1344413.0,
September 2015,151127.0,360.0,5983.0,1196744.0,1185489.0,
December 2015,222969.0,692.0,-6826.0,1268096.0,1258498.0,9598.0
March 2016,236155.0,1371.0,-69272.0,1369155.0,1319880.0,49275.0
June 2016,201673.0,1371.0,-110977.0,1228985.0,1183532.0,45453.0
September 2016,192736.0,1371.0,-87219.0,1266702.0,1223187.0,43515.0
December 2016,341593.0,1371.0,102003.0,1755024.0,1715916.0,39108.0
March 2017,271145.0,,-141657.0,1603124.0,1566118.0,37006.0
June 2017,205011.0,,-116948.0,1457488.0,1422217.0,35271.0
September 2017,196941.0,,-153264.0,1380137.0,1347401.0,32736.0
December 2017,284821.0,,-194278.0,1313885.0,1231392.0,82493.0
March 2018,216685.0,,-158328.0,1296967.0,1208760.0,88207.0
June 2018,229313.0,,-108307.0,1255296.0,1174758.0,80538.0
September 2018,160193.0,,-55341.0,1242828.0,1167533.0,75295.0
December 2018,278464.0,,-101066.0,1162358.0,1141362.0,20996.0
March 2019,37384.5,,165939.5,,,
June 2019,37384.5,,165939.5,,,
September 2019,35248.0,,-30632.0,39249.0,37663.0,1586.0
