,Assets
December 2010,2072018000.0
March 2011,
June 2011,2164947000.0
September 2011,2554482000.0
December 2011,2602716000.0
March 2012,2608666000.0
June 2012,2714170000.0
September 2012,3011686000.0
December 2012,3039187000.0
March 2013,2818232000.0
June 2013,2900102000.0
September 2013,2804406000.0
December 2013,2894230000.0
March 2014,3143337000.0
June 2014,3277672000.0
September 2014,3314925000.0
December 2014,3399134000.0
March 2015,3446770000.0
June 2015,3765274000.0
September 2015,3881736000.0
December 2015,4029921000.0
March 2016,4074545000.0
June 2016,4197166000.0
September 2016,4219648000.0
December 2016,4210514000.0
