,SellingGeneralAndAdministrativeExpense,NetIncomeLoss,Assets,AssetsCurrent
December 2008,81250000.0,-6500000.0,,
March 2009,81250000.0,-6500000.0,,
June 2009,81250000.0,-6500000.0,,
September 2009,81250000.0,-6500000.0,,
December 2009,88000000.0,-16500000.0,,
March 2010,88000000.0,-16500000.0,,
June 2010,97000000.0,-22000000.0,,
September 2010,106000000.0,-13000000.0,5630000000.0,1315000000.0
December 2010,63000000.0,-69000000.0,,
March 2011,70000000.0,-2000000.0,,
June 2011,94000000.0,13000000.0,5611000000.0,1363000000.0
September 2011,154000000.0,-171000000.0,5605000000.0,1255000000.0
December 2011,70000000.0,-12000000.0,5423000000.0,1112000000.0
March 2012,81000000.0,25000000.0,5510000000.0,1205000000.0
June 2012,76000000.0,31000000.0,5605000000.0,1225000000.0
