,OperatingExpenses,SellingGeneralAndAdministrativeExpense,NetIncomeLoss,Assets,AssetsCurrent,AssetsNoncurrent
December 2010,37097.0,37097.0,3754.0,,,
March 2011,22709.0,12846.333333333334,-22544.0,,,
June 2011,6897.0,12846.333333333334,-6897.0,,,
September 2011,,12846.333333333334,-9098.0,,,
December 2011,22334.0,22334.0,-22334.0,,,
March 2012,2944.0,,-2944.0,,,
June 2012,3592.0,,-3592.0,,,
September 2012,,,-16819.0,,,
December 2012,20750.0,20750.0,-20750.0,,,
March 2013,25002.0,25002.0,-25002.0,,,
June 2013,29293.0,29293.0,-29293.0,,,
September 2013,37581.0,37581.0,-37581.0,,,
December 2013,23496.0,23496.0,-23496.0,,,
March 2014,34641.0,34641.0,-34641.0,,,
June 2014,30418.0,30418.0,-30418.0,,,
September 2014,37963.0,37963.0,-37962.0,,,
