,NetIncomeLoss,Assets
March 2009,,
June 2009,,
September 2009,,
December 2009,,
March 2010,15944000.0,
June 2010,10858000.0,2878272000.0
September 2010,20208000.0,3175810000.0
December 2010,16914000.0,3273570000.0
March 2011,14627000.0,3326623000.0
June 2011,50204000.0,4028339000.0
September 2011,18887000.0,3932145000.0
December 2011,17585000.0,3841651000.0
March 2012,18010000.0,3837382000.0
June 2012,19087000.0,3764860000.0
September 2012,19290000.0,3823017000.0
December 2012,20677000.0,4040207000.0
March 2013,20011000.0,3951818000.0
June 2013,20379000.0,4043632000.0
September 2013,22383000.0,4706465000.0
December 2013,28464000.0,4791170000.0
March 2014,25268000.0,5032995000.0
June 2014,26478000.0,6297975000.0
September 2014,32080000.0,6580360000.0
December 2014,34762000.0,6766499000.0
March 2015,39918000.0,8303407000.0
June 2015,44776000.0,8710435000.0
September 2015,46128000.0,9329216000.0
December 2015,51431000.0,9879459000.0
March 2016,51688000.0,11427419000.0
June 2016,54474000.0,12279579000.0
September 2016,76030000.0,18451783000.0
December 2016,87787000.0,18890142000.0
March 2017,89188000.0,19152212000.0
