,OperatingExpenses,NetIncomeLoss,Assets
March 2011,1306176.0,-704439.0,
June 2011,1512002.0,-932338.0,
September 2011,2132755.0,-886939.0,455471.0
December 2011,2536868.0,-1171401.0,57481746.0
March 2012,2313898.0,-669716.0,58471954.0
June 2012,2253679.0,-757227.0,58884961.0
September 2012,1717557.0,-33433.0,56192642.0
December 2012,1557437.0,-197311.0,62878763.0
March 2013,1992671.0,-498487.0,62657002.0
June 2013,1891588.0,-553232.0,62044507.0
September 2013,1502741.0,-364386.0,61784937.0
December 2013,1936059.0,-534334.0,62223595.0
March 2014,1996735.0,-789928.0,62510978.0
June 2014,2439308.0,-1119479.0,62092817.0
September 2014,2065988.0,-861187.0,61363824.0
December 2014,2043352.0,-674392.0,60427118.0
March 2015,1987395.0,-780120.0,60503856.0
June 2015,1886609.0,-823085.0,59494245.0
September 2015,1405435.0,-469857.0,59256441.0
December 2015,1928283.0,-444967.0,62926404.0
March 2016,1962673.0,-768920.0,65310242.0
June 2016,2010516.0,-920075.0,65353668.0
September 2016,1829105.0,178137.0,50352821.0
December 2016,3486402.0,,47267129.0
March 2017,2114727.0,-1043904.0,46939493.0
June 2017,1985731.0,-790475.0,47516336.0
September 2017,1624587.0,-669782.0,47539335.0
December 2017,-393952.0,,49669612.0
March 2018,1388054.0,-741982.0,48624216.0
June 2018,1196981.0,-918639.0,49980056.0
September 2018,2574646.0,-1963279.0,46136679.0
December 2018,753381.0,-1441634.0,66491249.0
March 2019,2500724.0,-1495018.0,74661997.0
June 2019,2394394.0,-831852.0,94206195.0
September 2019,1953494.0,-1662814.0,142526651.0
December 2019,1926177.0,-1743974.0,219915886.0
March 2020,2394617.0,21548458.0,264028177.0
June 2020,3636973.0,-16599839.0,395709195.0
September 2020,3763304.0,-5537242.0,536649261.0
December 2020,11642594.0,-11851745.0,726400759.0
March 2021,-445000.0,-1600462.0,866191049.0
June 2021,13143692.0,-4993074.0,987475788.0
September 2021,9186000.0,-3064000.0,1107625000.0
December 2021,20049308.0,-6979464.0,1219917000.0
March 2022,-3327000.0,187000.0,1301898000.0
June 2022,-1392000.0,9266000.0,1435975000.0
