,NetIncomeLoss,Assets
March 2010,906000.0,
June 2010,637000.0,
September 2010,-5361000.0,
December 2010,-217000.0,600046000.0
March 2011,-1510000.0,
June 2011,-2221000.0,616325000.0
September 2011,-2033000.0,601323000.0
December 2011,-13270000.0,579046000.0
March 2012,192000.0,573407000.0
June 2012,709000.0,555321000.0
September 2012,353000.0,543765000.0
December 2012,-499000.0,530395000.0
March 2013,303000.0,547462000.0
June 2013,84000.0,515751000.0
September 2013,143000.0,529741000.0
December 2013,199000.0,548872000.0
March 2014,-277000.0,569313000.0
June 2014,-2906000.0,1448205000.0
September 2014,22675000.0,1528387000.0
December 2014,4814000.0,1514595000.0
March 2015,2267000.0,1477597000.0
June 2015,2531000.0,1451281000.0
September 2015,3213000.0,1470725000.0
December 2015,2563000.0,1920216000.0
March 2016,3343000.0,1922301000.0
June 2016,4542000.0,1990715000.0
September 2016,4741000.0,2007938000.0
December 2016,4833000.0,2053175000.0
March 2017,4917000.0,2174041000.0
June 2017,6657000.0,2239090000.0
September 2017,5132000.0,2241459000.0
December 2017,4605000.0,2160963000.0
