,SellingGeneralAndAdministrativeExpense,NetIncomeLoss,Assets,AssetsCurrent
March 2011,3703666.6666666665,-1527000.0,,
June 2011,3703666.6666666665,-1527000.0,,
September 2011,3703666.6666666665,-1527000.0,45988000.0,14095000.0
December 2011,-1614000.0,-33247000.0,14886000.0,5482000.0
March 2012,1665000.0,-1212000.0,13644000.0,5217000.0
June 2012,292000.0,115000.0,11453000.0,4665000.0
September 2012,1502000.0,-1359000.0,10515000.0,4447000.0
December 2012,1541000.0,-591000.0,9979000.0,4346000.0
March 2013,972000.0,-485000.0,9060000.0,3953000.0
June 2013,1598000.0,-899000.0,9026000.0,3828000.0
