,NetIncomeLoss,Assets,AssetsCurrent,AssetsNoncurrent
June 2009,-6153750.0,,,
September 2009,-6153750.0,,,
December 2009,-6153750.0,,,
March 2010,-6153750.0,,,
June 2010,10106000.0,,,
September 2010,-21156000.0,,,
December 2010,-20479000.0,,,
March 2011,-8539000.0,398704000.0,247989000.0,
June 2011,-9596000.0,408016000.0,,
September 2011,8525000.0,414465000.0,237083000.0,
December 2011,10286000.0,407080000.0,225086000.0,
March 2012,7522000.0,447913000.0,257143000.0,145100000.0
June 2012,-9699000.0,468972000.0,286706000.0,
September 2012,-44186000.0,456602000.0,294770000.0,
December 2012,-13270000.0,418278000.0,258468000.0,
March 2013,3267000.0,476144000.0,286455000.0,140950000.0
June 2013,4775000.0,473516000.0,274133000.0,
September 2013,6073000.0,478863000.0,284210000.0,
December 2013,9987000.0,494102000.0,277313000.0,
March 2014,10094000.0,550683000.0,285256000.0,156790000.0
June 2014,17940000.0,531470000.0,270006000.0,
September 2014,10237000.0,553430000.0,284115000.0,
December 2014,17264000.0,627926000.0,335589000.0,
March 2015,24092000.0,664885000.0,382870000.0,195742000.0
June 2015,7593000.0,748250000.0,408073000.0,
September 2015,509000.0,742350000.0,349666000.0,
December 2015,12038000.0,757045000.0,342319000.0,
March 2016,96000.0,817097000.0,361997000.0,
June 2016,43000.0,810351000.0,337095000.0,
September 2016,2757000.0,802066000.0,295886000.0,
December 2016,4945000.0,815934000.0,306273000.0,
