,ResearchAndDevelopmentExpense,NetIncomeLoss,Assets,AssetsCurrent
March 2010,,-8293.0,,
June 2010,,-6232.0,,
September 2010,,-9013.0,,
December 2010,,-20383.0,,12010.0
March 2011,,-7474.0,,
June 2011,,15722.0,,10455.0
September 2011,,-20365.0,,5254.0
December 2011,,-52883.0,5706.0,5706.0
March 2012,,-23672.0,,6396.0
June 2012,,-221553.0,1161650.0,71545.0
September 2012,,-245258.0,1129524.0,111294.0
December 2012,,-287317.0,1035632.0,89277.0
March 2013,6193.25,-432370.0,932494.0,5014.0
June 2013,6193.25,-330185.0,989162.0,135766.0
September 2013,6193.25,-274502.0,1687014.0,892357.0
December 2013,6193.25,-1154989.0,535742.0,448188.0
March 2014,8368.0,-10557322.0,54333647.0,2087718.0
June 2014,5055.0,-2372605.0,53069836.0,2136831.0
September 2014,3579.0,-2356071.0,53085933.0,3465826.0
December 2014,53123027.0,-46477072.0,2215398.0,2164144.0
March 2015,44899.0,25034.0,1644346.0,1615305.0
June 2015,13168.0,115456.0,1003370.0,965453.0
September 2015,13204.0,-407752.0,823713.0,788466.0
December 2015,603.0,-3372835.0,1992711.0,1945814.0
March 2016,8734.0,-27589.0,1265640.0,1235703.0
June 2016,10313.0,-2260633.0,695761.0,668464.0
September 2016,11301.0,46142.0,685761.0,661134.0
December 2016,7990.0,-2919983.0,19587.0,19587.0
March 2017,30085.0,-1812051.0,13786.0,13786.0
June 2017,213789.0,-695447.0,14759.0,14759.0
September 2017,3680.0,-390206.0,10128.0,10128.0
December 2017,9124.0,-645984.0,6889.0,6889.0
March 2018,,-597104.0,9967.0,9967.0
June 2018,,-417131.0,3583.0,3583.0
September 2018,,-381322.0,15788.0,15788.0
December 2018,,-238447.0,14865.0,14865.0
March 2019,,-852235.0,9142.0,9142.0
June 2019,,-165296.0,8610.0,
September 2019,,-1050762.0,20068.0,
December 2019,,718526.0,13605.0,
March 2020,,-1149391.0,10010.0,
