,OperatingExpenses,ResearchAndDevelopmentExpense,SellingGeneralAndAdministrativeExpense,NetIncomeLoss,Assets,AssetsCurrent,AssetsNoncurrent
June 2014,,,,2089.25,,,
September 2014,,,,2089.25,,,
December 2014,,,,2089.25,,,
March 2015,,,,2089.25,,,
June 2015,2639.0,0.0,2639.0,-2639.0,14546.0,8031.0,6515.0
September 2015,15314.0,0.0,2804.0,-10217.0,,,
December 2015,2232.0,0.0,2232.0,4896.0,,,
March 2016,3542.0,0.0,3541.0,-3541.0,,,
June 2016,46026.0,43429.0,2597.0,-42622.0,41250.0,35024.0,6226.0
September 2016,17546.0,0.0,17546.0,-14748.0,36794.0,462.0,6159.0
December 2016,2426.0,0.0,2426.0,17251.0,31788.0,643.0,6093.0
March 2017,1377.0,-1.0,1378.0,3995.0,6327.0,301.0,6026.0
June 2017,2146.0,1.0,2146.0,-1437.0,10321.0,4295.0,6026.0
September 2017,8250.0,0.0,8250.0,-6161.0,8884.0,2991.0,5893.0
December 2017,474753.0,0.0,23457.0,-477102.0,,,
March 2018,-434131.0,,17165.0,436479.0,,,
June 2018,15746.0,,15746.0,-15746.0,209.0,209.0,
September 2018,1028533.0,0.0,,-806317.0,0.0,,
December 2018,344536.0,0.0,,-341550.0,405604.0,234468.0,
