,NetIncomeLoss,Assets
March 2012,3544750.0,
June 2012,3544750.0,
September 2012,3544750.0,
December 2012,3544750.0,
March 2013,3144500.0,
June 2013,3144500.0,
September 2013,3144500.0,
December 2013,3144500.0,4583413000.0
March 2014,2472000.0,
June 2014,4576000.0,
September 2014,6524000.0,
December 2014,4461000.0,4751522000.0
March 2015,5251000.0,4770453000.0
June 2015,7055000.0,4736499000.0
September 2015,5835000.0,4728164000.0
December 2015,4752000.0,4826695000.0
March 2016,5023000.0,4814694000.0
June 2016,2748000.0,5514089000.0
September 2016,10076000.0,5580393000.0
December 2016,7622000.0,5738593000.0
March 2017,8355000.0,5861819000.0
June 2017,9485000.0,5828963000.0
September 2017,9428000.0,5817619000.0
December 2017,-3336000.0,5798828000.0
March 2018,9791000.0,5788923000.0
June 2018,11938000.0,5770311000.0
September 2018,12390000.0,5867623000.0
December 2018,13725000.0,5806925000.0
