,OperatingExpenses,SellingGeneralAndAdministrativeExpense,NetIncomeLoss,Assets,AssetsCurrent
March 2009,24536.5,,-13139.25,,
June 2009,24536.5,,-13139.25,,
September 2009,24536.5,,-13139.25,,
December 2009,24536.5,,-13139.25,,
March 2010,10486.75,,-9176.0,,
June 2010,10486.75,,-9176.0,,
September 2010,10486.75,,-9176.0,,
December 2010,10486.75,,-9176.0,22638.0,16719.0
March 2011,4817.0,,-5084.0,,
June 2011,913.0,,-1527.0,,
September 2011,1287.0,,-1627.0,,
December 2011,2592.0,,-2684.0,4649.0,882.0
March 2012,1767.0,254586.5,-2060.0,3664.0,435.0
June 2012,6007.0,254586.5,-6303.0,,
September 2012,4633.0,254586.5,-4901.0,3058.0,905.0
December 2012,1844294.0,254586.5,-596525.0,3005.0,1390.0
March 2013,13201.0,173949.0,-13463.0,1952.0,875.0
June 2013,19603.0,324912.3333333333,-19876.0,1799.0,1260.0
September 2013,9820.0,324912.3333333333,-10123.0,1095.0,845.0
December 2013,3459555.0,324912.3333333333,-666414.0,1439355.0,1178246.0
March 2014,444378.0,281017.0,-188029.0,1251368.0,1002095.0
June 2014,723008.0,374825.0,-1628451.0,,
September 2014,976864.0,528163.0,-1628451.0,,
December 2014,2791791.0,2861070.0,-1628451.0,354191.0,131002.0
March 2015,1138838.0,983283.0,,448688.0,236604.0
June 2015,408212.0,211635.0,,521346.0,320367.0
September 2015,575040.0,521391.0,,505801.0,315927.0
