,OperatingExpenses,NetIncomeLoss,Assets,AssetsCurrent,AssetsNoncurrent
March 2003,30813.25,-30813.25,,,
June 2003,30813.25,-30813.25,,,
September 2003,30813.25,-30813.25,,,
December 2003,30813.25,-30813.25,21.0,,
March 2004,5.25,-5.25,,,
June 2004,5.25,-5.25,,,
September 2004,5.25,-5.25,,,
December 2004,5.25,-5.25,0.0,,
March 2005,0.0,0.0,,,
June 2005,0.0,0.0,,,
September 2005,0.0,0.0,,,
December 2005,0.0,0.0,0.0,,
March 2006,0.0,0.0,,,
June 2006,0.0,0.0,,,
September 2006,0.0,0.0,,,
December 2006,0.0,0.0,0.0,,
March 2007,0.0,0.0,,,
June 2007,0.0,0.0,,,
September 2007,0.0,0.0,,,
December 2007,0.0,0.0,0.0,,
March 2008,0.0,0.0,,,
June 2008,0.0,0.0,,,
September 2008,0.0,0.0,,,
December 2008,0.0,0.0,0.0,,
March 2009,,,,,
June 2009,,,,,
September 2009,,,,,
December 2009,,,,,
March 2010,,,,,
June 2010,,,,,
September 2010,,,,,
December 2010,,,,,
March 2011,,,,,
June 2011,,,,,
September 2011,,,,,
December 2011,,,,,
March 2012,,,,,
June 2012,,,,,
September 2012,,,,,
December 2012,,,,,
March 2013,,,,,
June 2013,,,,,
September 2013,,,,,
December 2013,,,,,
March 2014,,,,,
June 2014,,,,,
September 2014,,,,,
December 2014,,,,,
March 2015,,,,,
June 2015,,,,,
September 2015,,,,,
December 2015,,,,,
March 2016,,,,,
June 2016,,,,,
September 2016,,,,,
December 2016,,,,,
March 2017,,,,,
June 2017,,,,,
September 2017,,,,,
December 2017,,,,,
March 2018,,,,,
June 2018,,,,,
September 2018,,,,,
December 2018,,,,,
March 2019,,,,,
June 2019,,,,,
September 2019,,,,,
December 2019,,,,,
March 2020,,,,,
June 2020,17452.0,-11762.0,,,
September 2020,15257.0,-3885.0,,,
December 2020,16572.0,2585.0,,,
March 2021,14273.0,18246.0,44873.0,37441.0,7432.0
June 2021,11846.0,-5337.0,,,
September 2021,13776.0,-9600.0,53137.0,45962.0,7175.0
December 2021,14385.0,-4552.0,58454.0,52872.0,5582.0
March 2022,3633354.0,-3625263.0,54752.0,51056.0,3696.0
June 2022,13798.0,3303.0,48746.0,46257.0,2489.0
