,OperatingExpenses,SellingGeneralAndAdministrativeExpense,NetIncomeLoss,Assets
June 2011,,,-5851750.0,
September 2011,,,-5851750.0,677972000.0
December 2011,,,-5851750.0,670738000.0
March 2012,,,-5851750.0,641230000.0
June 2012,,,165500.0,644958000.0
September 2012,,,165500.0,638274000.0
December 2012,,,165500.0,640638000.0
March 2013,,,165500.0,638277000.0
June 2013,,,410000.0,634221000.0
September 2013,,,343000.0,634814000.0
December 2013,,,-822000.0,638644000.0
March 2014,,,-767000.0,639838000.0
June 2014,,,173000.0,644101000.0
September 2014,,,208000.0,644115000.0
December 2014,,,110000.0,644373000.0
March 2015,,,-127000.0,675780000.0
June 2015,366250.0,,129000.0,670774000.0
September 2015,366250.0,,-156000.0,736736000.0
December 2015,366250.0,,570000.0,754133000.0
March 2016,366250.0,,-1489000.0,741728000.0
June 2016,223500.0,,325000.0,697556000.0
September 2016,223500.0,,-252000.0,701724000.0
December 2016,223500.0,,-1156000.0,698875000.0
March 2017,223500.0,,-2034000.0,687861000.0
June 2017,12000.0,200250.0,-641000.0,661074000.0
September 2017,12000.0,200250.0,-594000.0,666396000.0
December 2017,12000.0,200250.0,-944000.0,655960000.0
March 2018,12000.0,200250.0,7533000.0,693910000.0
June 2018,178500.0,104000.0,-1030000.0,637998000.0
September 2018,178500.0,104000.0,-2017000.0,615047000.0
December 2018,178500.0,104000.0,-1349000.0,590425000.0
March 2019,178500.0,104000.0,-1540000.0,563713000.0
June 2019,0.0,61000.0,-1139000.0,572098000.0
September 2019,0.0,61000.0,-1050000.0,586992000.0
December 2019,0.0,61000.0,-1436000.0,569062000.0
March 2020,0.0,61000.0,-1798000.0,578770000.0
June 2020,,40000.0,-812000.0,670672000.0
September 2020,,40000.0,-809000.0,672653000.0
December 2020,,40000.0,-1310000.0,686399000.0
March 2021,,40000.0,-965000.0,676748000.0
June 2021,,126250.0,-2756000.0,682927000.0
September 2021,,126250.0,1084000.0,706874000.0
December 2021,,126250.0,696000.0,722810000.0
March 2022,,126250.0,129000.0,735314000.0
June 2022,,,-857000.0,690926000.0
