,SellingGeneralAndAdministrativeExpense,NetIncomeLoss,Assets
March 2009,18498000.0,14691250.0,
June 2009,18498000.0,14691250.0,
September 2009,18498000.0,14691250.0,
December 2009,18498000.0,14691250.0,
March 2010,18399000.0,22485000.0,
June 2010,18379000.0,147050000.0,
September 2010,18474000.0,120831000.0,
December 2010,20694000.0,14783000.0,11300294000.0
March 2011,20021000.0,90284000.0,
June 2011,22454000.0,545928000.0,12644078000.0
September 2011,18900000.0,14793000.0,13162645000.0
December 2011,18728000.0,11034000.0,13483852000.0
March 2012,20196000.0,33689000.0,13761713000.0
June 2012,20721000.0,114005000.0,14139113000.0
September 2012,20551000.0,26224000.0,14284939000.0
December 2012,21372000.0,28084000.0,14378985000.0
March 2013,21067000.0,26871000.0,14543965000.0
June 2013,21514000.0,27679000.0,14401925000.0
