,OperatingExpenses,NetIncomeLoss,Assets,AssetsCurrent,AssetsNoncurrent
March 2010,,3308854.0,,,
June 2010,,3308854.0,,,
September 2010,,3308854.0,,,
December 2010,,3308854.0,,,
March 2011,504870.0,2811212.0,,,
June 2011,1281126.0,4986911.0,,,
September 2011,-4017934.0,8427218.0,,,
December 2011,1778028.0,-94971.0,58295145.0,22883796.0,35411349.0
March 2012,1001266.0,-93903.0,57771149.0,21827094.0,35944055.0
June 2012,1202984.0,-244603.0,,,
September 2012,1219423.0,-10034.0,58948766.0,21218873.0,37729893.0
December 2012,3100543.0,-752801.0,59940697.0,22066546.0,37874151.0
March 2013,736135.0,8596.0,61558379.0,23833029.0,37725351.0
June 2013,1591935.0,-31669966.0,25199411.0,21891061.0,3308350.0
September 2013,-209238.0,-2249161.0,22806445.0,22742845.0,63600.0
December 2013,5218088.0,-2467690.0,17868906.0,17778701.0,90205.0
March 2014,3113671.0,-2971746.0,16406542.0,16317403.0,89139.0
June 2014,2242253.0,-2028192.0,15467630.0,15383777.0,83853.0
September 2014,2764952.0,2085200.0,18283216.0,18204578.0,78638.0
