,NetIncomeLoss,Assets,AssetsCurrent,AssetsNoncurrent
March 2012,369553.0,,,
June 2012,369553.0,,,
September 2012,369553.0,,,
December 2012,369553.0,,,
March 2013,1179307.0,23833945.0,,
June 2013,1027784.0,,,
September 2013,699174.0,,,
December 2013,1486179.0,,,
March 2014,711334.0,35153039.0,16842214.0,9822627.0
June 2014,877356.0,39598796.0,,
September 2014,962378.0,38651192.0,,
December 2014,1386772.0,37870449.0,,
March 2015,762959.0,34138213.0,17657887.0,9682790.0
June 2015,779796.0,33292155.0,17083260.0,9545743.0
September 2015,440801.0,31535035.0,15420259.0,9647519.0
December 2015,2442351.0,31533772.0,15509403.0,9459550.0
March 2016,731834.0,30315725.0,15438854.0,8866568.0
June 2016,974813.0,30178596.0,14787233.0,9001760.0
September 2016,1011799.0,29900165.0,14790057.0,8612354.0
December 2016,731670.0,30122648.0,15320938.0,8336719.0
March 2017,813672.0,29418356.0,15150820.0,7809605.0
June 2017,928284.0,29830596.0,15751637.0,7725386.0
September 2017,751056.0,29454815.0,15582826.0,7487052.0
December 2017,470896.0,29333217.0,15166756.0,7851649.0
March 2018,576944.0,28940635.0,15571368.0,7203027.0
June 2018,750815.0,28138095.0,15401384.0,6733614.0
September 2018,525361.0,27530214.0,15264236.0,6409988.0
December 2018,385679.0,27567159.0,15331878.0,
March 2019,711609.0,26222141.0,14266135.0,
June 2019,918088.0,29548443.0,14374167.0,
September 2019,-71637.0,29286343.0,14611507.0,
December 2019,-524228.0,29177535.0,14630447.0,
March 2020,-3667397.0,27817388.0,13611730.0,
June 2020,76132.0,29108126.0,14828244.0,
September 2020,523695.0,29187439.0,15487776.0,
December 2020,2167793.0,28281014.0,15334665.0,
March 2021,579805.0,24951152.0,12776823.0,
June 2021,196933.0,25802627.0,13267445.0,
September 2021,-1477646.0,27417592.0,15204875.0,
December 2021,359211.0,27298664.0,15079748.0,
March 2022,-114941.0,26880761.0,14997966.0,
June 2022,-3641186.0,27491591.0,15426280.0,
September 2022,0.0,26250226.0,14743103.0,
