,NetIncomeLoss,Assets
March 2009,-5492250.0,
June 2009,-5492250.0,
September 2009,-5492250.0,
December 2009,-5492250.0,
March 2010,1805000.0,
June 2010,1802000.0,
September 2010,1677000.0,
December 2010,1704000.0,801466000.0
March 2011,1788000.0,
June 2011,1855000.0,778682000.0
September 2011,1877000.0,784087000.0
December 2011,1890000.0,797354000.0
March 2012,1835000.0,790902000.0
June 2012,1954000.0,
September 2012,1941000.0,811349000.0
December 2012,1955000.0,819500000.0
March 2013,1907000.0,809666000.0
June 2013,2204000.0,838371000.0
September 2013,2260000.0,831185000.0
December 2013,2296000.0,846735000.0
March 2014,2112000.0,846082000.0
June 2014,2148000.0,875916000.0
September 2014,2316000.0,865955000.0
December 2014,2437000.0,888746000.0
March 2015,-936000.0,1620618000.0
June 2015,3565000.0,1587328000.0
September 2015,3917000.0,1572687000.0
December 2015,3858000.0,1556015000.0
March 2016,3695000.0,1550467000.0
June 2016,3769000.0,1524328000.0
