,Assets
December 2010,370255000.0
March 2011,
June 2011,403299000.0
September 2011,436377000.0
December 2011,469842000.0
March 2012,501590000.0
June 2012,526733000.0
September 2012,548793000.0
December 2012,571374000.0
March 2013,561451000.0
June 2013,588523000.0
September 2013,585989000.0
December 2013,610791000.0
March 2014,624102000.0
June 2014,642610000.0
September 2014,701069000.0
December 2014,743688000.0
March 2015,782478000.0
June 2015,802943000.0
September 2015,810182000.0
December 2015,802920000.0
March 2016,793894000.0
June 2016,821396000.0
September 2016,835072000.0
December 2016,822440000.0
March 2017,859674000.0
June 2017,865875000.0
September 2017,877882000.0
December 2017,887407000.0
March 2018,857459000.0
June 2018,873481000.0
September 2018,891640000.0
December 2018,883736000.0
March 2019,912944000.0
June 2019,924718000.0
September 2019,961684000.0
