,OperatingExpenses,SellingGeneralAndAdministrativeExpense,NetIncomeLoss,Assets
March 2009,42359.6,,-138778.4,
June 2009,42359.6,,-138778.4,
September 2009,42359.6,,-138778.4,
December 2009,42359.6,,-138778.4,
March 2010,30000.0,,-136619.0,
June 2010,30000.0,,-136619.0,
September 2010,30000.0,,-136349.0,
December 2010,42359.6,,-138778.4,
March 2011,288182.0,,-394801.0,
June 2011,95940.0,,-202559.0,
September 2011,32500.0,,-32500.0,
December 2011,155924.0,,-155924.0,
March 2012,65000.0,,-65000.0,
June 2012,71377.0,,-502829.0,
September 2012,67400.0,,-171524.0,
December 2012,58212.0,,-187799.0,
March 2013,73892.0,,-181823.0,
June 2013,67975.0,,-165861.0,
September 2013,97623.0,,-200105.0,238.0
December 2013,32273.0,,,116.0
March 2014,32268.0,,,98.0
June 2014,32267.0,,,80.0
September 2014,32316.0,,,15.0
December 2014,57260.0,,,30004.0
March 2015,276537.0,,,22803.0
June 2015,101362.0,,,10679.0
September 2015,,,,
December 2015,,,,60276.0
