,OperatingExpenses,SellingGeneralAndAdministrativeExpense,NetIncomeLoss,Assets,AssetsCurrent,AssetsNoncurrent
March 2010,16765.75,,,,,
June 2010,16765.75,,,,,
September 2010,16765.75,,,,,
December 2010,16765.75,,,67066.0,42817.0,24249.0
March 2011,19910.0,,-9555.0,,,
June 2011,15113.0,,-965.0,,,
September 2011,14365.0,,-5309.0,,,
December 2011,26746.0,,-18201.0,44287.0,24881.0,19406.0
March 2012,23649.0,,-6716.0,44908.0,26662.0,18246.0
June 2012,15960.0,,546.0,,,
September 2012,23634.0,,-7318.0,35617.0,19691.0,15926.0
December 2012,14698.0,,9759.0,40540.0,25774.0,14766.0
March 2013,20966.0,2687506.75,-6424.0,,,
June 2013,26640.0,2687506.75,-6660.0,33396.0,20950.0,12446.0
September 2013,26546.0,2687506.75,-7916.0,27001.0,15715.0,11286.0
December 2013,24559.0,2687506.75,-64674700.0,20826.0,10699.0,50583660.0
March 2014,7949401.0,2755032.0,-6939415.0,,,
June 2014,10986167.666666666,3263019.0,-14454321.333333334,,,
September 2014,10986167.666666666,3263019.0,-14454321.333333334,,,
December 2014,10986167.666666666,3263019.0,-14454321.333333334,47955765.0,840870.0,47114895.0
March 2015,9147562.0,3065034.0,-9117048.0,47267596.0,1083989.0,46183607.0
June 2015,,,,,,
